text,label
I feel very sad today very much,sadness
I am lonely and hurt very much,sadness
I am lonely and hurt a lot,sadness
I am lonely and hurt today,sadness
I am lonely and hurt right now,sadness
This makes me want to cry a lot,sadness
This makes me want to cry,sadness
I feel depressed and tired right now,sadness
I am lonely and hurt right now,sadness
I feel very sad today,sadness
I feel depressed and tired a lot,sadness
I am lonely and hurt right now,sadness
This makes me want to cry today,sadness
I feel very sad today a lot,sadness
This makes me want to cry,sadness
I feel depressed and tired right now,sadness
I am lonely and hurt in this moment,sadness
I feel depressed and tired right now,sadness
I feel very sad today right now,sadness
I feel very sad today very much,sadness
I am lonely and hurt right now,sadness
I feel very sad today in this moment,sadness
This makes me uncomfortable,disgust
This is disgusting right now,disgust
That was gross very much,disgust
This is disgusting a lot,disgust
I feel repulsed by this right now,disgust
This is disgusting a lot,disgust
That was gross very much,disgust
That was gross very much,disgust
I hate what I saw very much,disgust
I hate what I saw,disgust
I hate what I saw right now,disgust
I feel repulsed by this in this moment,disgust
That was gross today,disgust
I feel repulsed by this in this moment,disgust
That was gross right now,disgust
That was gross,disgust
That was gross a lot,disgust
This is disgusting today,disgust
I hate what I saw very much,disgust
This is disgusting in this moment,disgust
This is disgusting a lot,disgust
That was gross,disgust
This is disgusting,disgust
This makes me uncomfortable right now,disgust
This is disgusting in this moment,disgust
This makes me uncomfortable right now,disgust
That was gross a lot,disgust
That was gross a lot,disgust
This is disgusting very much,disgust
I feel repulsed by this today,disgust
This is disgusting right now,disgust
I feel repulsed by this in this moment,disgust
I feel repulsed by this a lot,disgust
That was gross today,disgust
This makes me uncomfortable right now,disgust
That was gross today,disgust
I hate what I saw right now,disgust
This makes me uncomfortable today,disgust
I feel repulsed by this right now,disgust
I feel repulsed by this right now,disgust
I feel repulsed by this very much,disgust
This makes me uncomfortable very much,disgust
That was gross today,disgust
This is disgusting right now,disgust
I feel repulsed by this today,disgust
I hate what I saw very much,disgust
I feel repulsed by this,disgust
That was gross today,disgust
That was gross very much,disgust
I hate what I saw today,disgust
This is disgusting a lot,disgust
That was gross a lot,disgust
This is disgusting,disgust
This makes me uncomfortable in this moment,disgust
This is disgusting today,disgust
This is disgusting very much,disgust
That was gross a lot,disgust
I hate what I saw very much,disgust
That was gross very much,disgust
This is disgusting very much,disgust
I feel repulsed by this today,disgust
I hate what I saw right now,disgust
This makes me uncomfortable in this moment,disgust
This is disgusting a lot,disgust
I feel repulsed by this right now,disgust
I feel repulsed by this a lot,disgust
That was gross right now,disgust
This is disgusting in this moment,disgust
This makes me uncomfortable today,disgust
I hate what I saw right now,disgust
I hate what I saw a lot,disgust
I feel repulsed by this in this moment,disgust
This is disgusting right now,disgust
This makes me uncomfortable right now,disgust
I feel repulsed by this a lot,disgust
I hate what I saw in this moment,disgust
I feel repulsed by this in this moment,disgust
This is disgusting in this moment,disgust
This is disgusting a lot,disgust
I feel repulsed by this a lot,disgust
That was gross very much,disgust
That was gross in this moment,disgust
I hate what I saw a lot,disgust
I feel repulsed by this in this moment,disgust
That was gross today,disgust
That was gross today,disgust
This is disgusting today,disgust
This is disgusting very much,disgust
This is disgusting,disgust
That was gross right now,disgust
I feel repulsed by this,disgust
I hate what I saw right now,disgust
I hate what I saw in this moment,disgust
This makes me uncomfortable a lot,disgust
This is disgusting right now,disgust
This is disgusting a lot,disgust
This is disgusting right now,disgust
I feel repulsed by this right now,disgust
That was gross,disgust
I hate what I saw in this moment,disgust
This is disgusting a lot,disgust
That was gross today,disgust
I hate what I saw a lot,disgust
This makes me uncomfortable right now,disgust
This makes me uncomfortable today,disgust
That was gross a lot,disgust
This makes me uncomfortable very much,disgust
This makes me uncomfortable today,disgust
This makes me uncomfortable right now,disgust
I hate what I saw right now,disgust
This is disgusting right now,disgust
I hate what I saw a lot,disgust
That was gross today,disgust
This is disgusting today,disgust
This is disgusting today,disgust
That was gross right now,disgust
This makes me uncomfortable very much,disgust
I hate what I saw today,disgust
I hate what I saw right now,disgust
That was gross in this moment,disgust
I feel repulsed by this very much,disgust
I hate what I saw right now,disgust
This makes me uncomfortable a lot,disgust
This is disgusting,disgust
This makes me uncomfortable very much,disgust
This is disgusting today,disgust
That was gross today,disgust
This is disgusting right now,disgust
That was gross right now,disgust
I hate what I saw today,disgust
That was gross very much,disgust
I hate what I saw today,disgust
This makes me uncomfortable today,disgust
This is disgusting today,disgust
I hate what I saw very much,disgust
This is disgusting very much,disgust
This is disgusting right now,disgust
This is disgusting very much,disgust
I hate what I saw,disgust
This makes me uncomfortable very much,disgust
This makes me uncomfortable,disgust
I hate what I saw right now,disgust
That was gross in this moment,disgust
I feel repulsed by this in this moment,disgust
This makes me uncomfortable,disgust
This is disgusting,disgust
This makes me uncomfortable a lot,disgust
That was gross,disgust
I feel repulsed by this right now,disgust
That was gross right now,disgust
I feel repulsed by this today,disgust
That was gross very much,disgust
This makes me uncomfortable today,disgust
This makes me uncomfortable in this moment,disgust
I hate what I saw today,disgust
I feel repulsed by this today,disgust
This makes me uncomfortable a lot,disgust
I hate what I saw today,disgust
I feel repulsed by this,disgust
This is disgusting right now,disgust
I feel repulsed by this a lot,disgust
I hate what I saw very much,disgust
This is disgusting very much,disgust
This is disgusting right now,disgust
I hate what I saw in this moment,disgust
I feel repulsed by this in this moment,disgust
I feel repulsed by this right now,disgust
I feel repulsed by this very much,disgust
I hate what I saw right now,disgust
This is disgusting today,disgust
I feel repulsed by this very much,disgust
This is disgusting,disgust
That was gross today,disgust
This makes me uncomfortable in this moment,disgust
I feel repulsed by this right now,disgust
This is disgusting in this moment,disgust
I hate what I saw very much,disgust
I feel repulsed by this very much,disgust
I feel repulsed by this a lot,disgust
This is disgusting in this moment,disgust
I hate what I saw,disgust
I feel repulsed by this in this moment,disgust
This makes me uncomfortable in this moment,disgust
That was gross today,disgust
That was gross in this moment,disgust
This makes me uncomfortable a lot,disgust
I feel repulsed by this in this moment,disgust
I feel repulsed by this very much,disgust
That was gross in this moment,disgust
I hate what I saw a lot,disgust
I feel repulsed by this very much,disgust
This is disgusting,disgust
This is disgusting in this moment,disgust
This is disgusting a lot,disgust
That was gross in this moment,disgust
This makes me uncomfortable a lot,disgust
I hate what I saw right now,disgust
That was gross today,disgust
That was gross today,disgust
I feel repulsed by this a lot,disgust
I feel very angry very much,anger
I am mad about this very much,anger
This makes me furious,anger
This makes me furious,anger
I feel very angry in this moment,anger
I am mad about this a lot,anger
I feel frustrated a lot,anger
This situation annoys me in this moment,anger
I feel very angry very much,anger
This makes me furious a lot,anger
I feel frustrated,anger
I feel frustrated today,anger
I am mad about this today,anger
I am mad about this in this moment,anger
I am mad about this very much,anger
I am mad about this very much,anger
I feel frustrated a lot,anger
I am mad about this right now,anger
This makes me furious,anger
This situation annoys me,anger
This situation annoys me a lot,anger
I am mad about this very much,anger
This makes me furious right now,anger
This makes me furious in this moment,anger
This situation annoys me a lot,anger
This makes me furious very much,anger
This situation annoys me a lot,anger
This makes me furious a lot,anger
I feel very angry very much,anger
This makes me furious today,anger
I feel frustrated today,anger
This situation annoys me right now,anger
I am mad about this a lot,anger
I am mad about this in this moment,anger
I feel very angry,anger
I feel frustrated in this moment,anger
This makes me furious,anger
I feel very angry very much,anger
I feel frustrated in this moment,anger
This makes me furious today,anger
This makes me furious in this moment,anger
I feel frustrated today,anger
This situation annoys me right now,anger
I feel very angry in this moment,anger
I feel frustrated today,anger
This makes me furious today,anger
I feel frustrated a lot,anger
I am mad about this in this moment,anger
This makes me furious right now,anger
This makes me furious right now,anger
This situation annoys me right now,anger
I am mad about this very much,anger
This situation annoys me very much,anger
I am mad about this today,anger
I feel very angry right now,anger
I am mad about this,anger
This situation annoys me today,anger
This situation annoys me,anger
I feel frustrated today,anger
I feel frustrated in this moment,anger
This situation annoys me right now,anger
This makes me furious right now,anger
I feel very angry in this moment,anger
This makes me furious today,anger
This makes me furious a lot,anger
I feel frustrated,anger
This makes me furious a lot,anger
I am mad about this a lot,anger
This situation annoys me in this moment,anger
This situation annoys me right now,anger
I feel very angry today,anger
This situation annoys me right now,anger
I feel very angry,anger
I feel very angry in this moment,anger
This makes me furious in this moment,anger
This makes me furious,anger
This situation annoys me,anger
I am mad about this,anger
This situation annoys me,anger
I feel frustrated today,anger
This makes me furious today,anger
This situation annoys me very much,anger
This situation annoys me today,anger
I feel frustrated in this moment,anger
I am mad about this right now,anger
I am mad about this in this moment,anger
I feel frustrated very much,anger
This situation annoys me very much,anger
This makes me furious very much,anger
I am mad about this a lot,anger
I feel frustrated,anger
This makes me furious in this moment,anger
I feel very angry in this moment,anger
I feel very angry,anger
I am mad about this a lot,anger
I feel frustrated a lot,anger
This makes me furious very much,anger
I feel frustrated today,anger
I am mad about this today,anger
This makes me furious,anger
This situation annoys me today,anger
This makes me furious in this moment,anger
I feel very angry a lot,anger
This makes me furious in this moment,anger
This situation annoys me in this moment,anger
This situation annoys me,anger
I feel very angry today,anger
This situation annoys me today,anger
This situation annoys me in this moment,anger
I feel frustrated very much,anger
I feel very angry a lot,anger
I am mad about this a lot,anger
I feel frustrated,anger
I feel very angry today,anger
I feel frustrated very much,anger
This situation annoys me right now,anger
I feel very angry,anger
I feel frustrated a lot,anger
This makes me furious very much,anger
I feel frustrated in this moment,anger
This situation annoys me very much,anger
I feel very angry in this moment,anger
This makes me furious right now,anger
This makes me furious in this moment,anger
I feel frustrated a lot,anger
I feel very angry in this moment,anger
I am mad about this in this moment,anger
I am mad about this very much,anger
I feel very angry today,anger
I am mad about this right now,anger
I feel frustrated in this moment,anger
I feel very angry today,anger
This situation annoys me very much,anger
I am mad about this very much,anger
This makes me furious a lot,anger
This situation annoys me in this moment,anger
I feel very angry,anger
I feel frustrated in this moment,anger
This makes me furious a lot,anger
I feel frustrated right now,anger
This situation annoys me today,anger
This makes me furious,anger
This situation annoys me a lot,anger
This makes me furious right now,anger
I feel very angry,anger
I am mad about this very much,anger
I am mad about this in this moment,anger
I feel frustrated a lot,anger
I am mad about this right now,anger
This makes me furious today,anger
I am mad about this in this moment,anger
This makes me furious today,anger
I am mad about this very much,anger
This situation annoys me very much,anger
I feel frustrated right now,anger
This makes me furious,anger
I am mad about this very much,anger
I feel frustrated very much,anger
I feel very angry right now,anger
This makes me furious in this moment,anger
I feel frustrated a lot,anger
I feel frustrated,anger
I feel very angry in this moment,anger
I feel very angry today,anger
I feel frustrated,anger
This makes me furious,anger
This makes me furious very much,anger
This situation annoys me in this moment,anger
I feel frustrated a lot,anger
I feel very angry,anger
I am mad about this a lot,anger
I am mad about this very much,anger
I feel frustrated,anger
I feel very angry,anger
I feel frustrated right now,anger
I am mad about this right now,anger
This makes me furious very much,anger
I am mad about this very much,anger
I feel frustrated,anger
I feel frustrated a lot,anger
I feel frustrated right now,anger
I feel frustrated right now,anger
I feel very angry right now,anger
I feel very angry in this moment,anger
I am mad about this very much,anger
This situation annoys me today,anger
I feel frustrated a lot,anger
This makes me furious right now,anger
This makes me furious today,anger
I am mad about this very much,anger
I am mad about this in this moment,anger
This makes me furious a lot,anger
I am mad about this very much,anger
This makes me furious today,anger
I feel very angry in this moment,anger
I feel frustrated a lot,anger
This makes me furious a lot,anger
This situation annoys me in this moment,anger
I feel very angry a lot,anger
This makes me furious very much,anger
I am waiting for something very much,anticipation
I am waiting for something today,anticipation
I feel curious about what comes next very much,anticipation
I feel excited about the future a lot,anticipation
I am waiting for something,anticipation
I expect something important,anticipation
I feel excited about the future very much,anticipation
I am looking forward to it a lot,anticipation
I am waiting for something in this moment,anticipation
I am looking forward to it,anticipation
I am looking forward to it very much,anticipation
I feel curious about what comes next,anticipation
I expect something important today,anticipation
I feel excited about the future today,anticipation
I expect something important in this moment,anticipation
I am waiting for something right now,anticipation
I am waiting for something in this moment,anticipation
I feel excited about the future today,anticipation
I feel curious about what comes next,anticipation
I expect something important right now,anticipation
I feel curious about what comes next in this moment,anticipation
I am waiting for something right now,anticipation
I am looking forward to it today,anticipation
I expect something important very much,anticipation
I feel curious about what comes next in this moment,anticipation
I feel excited about the future in this moment,anticipation
I feel excited about the future today,anticipation
I am looking forward to it today,anticipation
I feel curious about what comes next a lot,anticipation
I am looking forward to it in this moment,anticipation
I feel excited about the future,anticipation
I am looking forward to it very much,anticipation
I expect something important,anticipation
I feel curious about what comes next in this moment,anticipation
I expect something important today,anticipation
I am looking forward to it right now,anticipation
I expect something important,anticipation
I feel curious about what comes next today,anticipation
I feel excited about the future in this moment,anticipation
I feel excited about the future in this moment,anticipation
I feel excited about the future today,anticipation
I feel curious about what comes next a lot,anticipation
I am waiting for something today,anticipation
I am waiting for something right now,anticipation
I feel curious about what comes next right now,anticipation
I am looking forward to it a lot,anticipation
I am looking forward to it very much,anticipation
I am looking forward to it right now,anticipation
I expect something important right now,anticipation
I feel excited about the future today,anticipation
I am looking forward to it right now,anticipation
I expect something important a lot,anticipation
I am looking forward to it very much,anticipation
I am waiting for something,anticipation
I am looking forward to it,anticipation
I am looking forward to it in this moment,anticipation
I feel curious about what comes next a lot,anticipation
I feel excited about the future today,anticipation
I feel excited about the future a lot,anticipation
I am waiting for something a lot,anticipation
I am looking forward to it very much,anticipation
I expect something important in this moment,anticipation
I am looking forward to it,anticipation
I expect something important today,anticipation
I feel curious about what comes next right now,anticipation
I feel excited about the future a lot,anticipation
I am looking forward to it a lot,anticipation
I am waiting for something,anticipation
I feel curious about what comes next right now,anticipation
I am looking forward to it,anticipation
I feel excited about the future a lot,anticipation
I am waiting for something in this moment,anticipation
I am waiting for something in this moment,anticipation
I am looking forward to it today,anticipation
I feel excited about the future,anticipation
I expect something important a lot,anticipation
I feel excited about the future right now,anticipation
I feel excited about the future in this moment,anticipation
I feel curious about what comes next today,anticipation
I am looking forward to it right now,anticipation
I feel curious about what comes next today,anticipation
I feel curious about what comes next a lot,anticipation
I feel curious about what comes next,anticipation
I expect something important right now,anticipation
I feel curious about what comes next today,anticipation
I feel curious about what comes next in this moment,anticipation
I am waiting for something a lot,anticipation
I am waiting for something right now,anticipation
I feel excited about the future,anticipation
I am waiting for something in this moment,anticipation
I expect something important very much,anticipation
I feel curious about what comes next a lot,anticipation
I am looking forward to it today,anticipation
I expect something important in this moment,anticipation
I feel excited about the future in this moment,anticipation
I am waiting for something in this moment,anticipation
I expect something important today,anticipation
I expect something important right now,anticipation
I expect something important very much,anticipation
I am looking forward to it in this moment,anticipation
I feel curious about what comes next today,anticipation
I feel excited about the future right now,anticipation
I expect something important,anticipation
I am waiting for something very much,anticipation
I feel curious about what comes next a lot,anticipation
I am looking forward to it,anticipation
I feel excited about the future a lot,anticipation
I am looking forward to it today,anticipation
I am waiting for something very much,anticipation
I feel excited about the future a lot,anticipation
I feel excited about the future a lot,anticipation
I expect something important,anticipation
I feel excited about the future very much,anticipation
I feel curious about what comes next very much,anticipation
I feel excited about the future right now,anticipation
I expect something important a lot,anticipation
I am looking forward to it very much,anticipation
I am waiting for something a lot,anticipation
I expect something important a lot,anticipation
I feel excited about the future right now,anticipation
I am looking forward to it right now,anticipation
I feel excited about the future a lot,anticipation
I am looking forward to it in this moment,anticipation
I am waiting for something very much,anticipation
I am looking forward to it a lot,anticipation
I am looking forward to it a lot,anticipation
I feel curious about what comes next,anticipation
I feel excited about the future right now,anticipation
I feel curious about what comes next in this moment,anticipation
I am waiting for something today,anticipation
I am waiting for something in this moment,anticipation
I expect something important,anticipation
I feel excited about the future,anticipation
I am waiting for something,anticipation
I expect something important today,anticipation
I expect something important very much,anticipation
I feel curious about what comes next,anticipation
I feel curious about what comes next today,anticipation
I feel excited about the future right now,anticipation
I feel excited about the future right now,anticipation
I am waiting for something,anticipation
I am waiting for something in this moment,anticipation
I feel excited about the future today,anticipation
I am waiting for something today,anticipation
I feel curious about what comes next right now,anticipation
I feel curious about what comes next a lot,anticipation
I feel excited about the future,anticipation
I am waiting for something,anticipation
I am waiting for something a lot,anticipation
I am waiting for something right now,anticipation
I feel curious about what comes next right now,anticipation
I am waiting for something today,anticipation
I expect something important in this moment,anticipation
I expect something important a lot,anticipation
I am looking forward to it today,anticipation
I feel curious about what comes next right now,anticipation
I expect something important in this moment,anticipation
I feel excited about the future today,anticipation
I expect something important in this moment,anticipation
I feel curious about what comes next a lot,anticipation
I am waiting for something today,anticipation
I expect something important right now,anticipation
I feel excited about the future today,anticipation
I expect something important very much,anticipation
I am looking forward to it a lot,anticipation
I expect something important right now,anticipation
I am looking forward to it,anticipation
I am looking forward to it in this moment,anticipation
I am looking forward to it a lot,anticipation
I am looking forward to it today,anticipation
I am waiting for something a lot,anticipation
I feel curious about what comes next a lot,anticipation
I am waiting for something a lot,anticipation
I expect something important,anticipation
I feel excited about the future,anticipation
I expect something important,anticipation
I feel excited about the future a lot,anticipation
I expect something important today,anticipation
I am looking forward to it very much,anticipation
I am waiting for something very much,anticipation
I feel curious about what comes next today,anticipation
I expect something important today,anticipation
I am looking forward to it right now,anticipation
I feel excited about the future very much,anticipation
I feel excited about the future a lot,anticipation
I expect something important today,anticipation
I am looking forward to it very much,anticipation
I am waiting for something in this moment,anticipation
I expect something important today,anticipation
I expect something important in this moment,anticipation
I feel curious about what comes next very much,anticipation
I expect something important in this moment,anticipation
I feel excited about the future very much,anticipation
I feel excited about the future a lot,anticipation
I am looking forward to it in this moment,anticipation
I feel curious about what comes next today,anticipation
I expect something important right now,anticipation
I feel curious about what comes next in this moment,anticipation
I feel excited about the future today,anticipation
I am waiting for something right now,anticipation
